ID,Latitude,Longitude,Altitude
1,"-29,6696086000","-50,5920434000","29,977"
2,"-29,6701953000","-50,5923368000","30,025"
3,"-29,6702931000","-50,5924346000","30,066"
4,"-29,6703909000","-50,5924346000","30,069"
5,"-29,6699997000","-50,5922390000","30,086"
6,"-29,6700975000","-50,5923368000","30,088"
7,"-29,6661861000","-50,5911634000","30,114"
8,"-29,6700975000","-50,5922390000","30,115"
9,"-29,6658928000","-50,5909678000","30,116"
10,"-29,6701953000","-50,5924346000","30,117"
11,"-29,6662839000","-50,5911634000","30,154"
12,"-29,6699997000","-50,5923368000","30,179"
13,"-29,6660883000","-50,5910656000","30,188"
14,"-29,6700975000","-50,5924346000","30,198"
15,"-29,6660883000","-50,5911634000","30,253"
16,"-29,6694130000","-50,5921412000","30,261"
17,"-29,6695108000","-50,5921412000","30,275"
18,"-29,6702931000","-50,5923368000","30,294"
19,"-29,6659906000","-50,5909678000","30,297"
20,"-29,6695108000","-50,5920434000","30,309"
21,"-29,6670662000","-50,5916523000","30,359"
22,"-29,6699019000","-50,5922390000","30,359"
23,"-29,6691197000","-50,5922390000","30,359"
24,"-29,6664795000","-50,5912612000","30,361"
25,"-29,6672618000","-50,5917501000","30,361"
26,"-29,6687285000","-50,5922390000","30,368"
27,"-29,6690219000","-50,5922390000","30,371"
28,"-29,6689241000","-50,5922390000","30,373"
29,"-29,6661861000","-50,5912612000","30,380"
30,"-29,6688263000","-50,5922390000","30,381"
31,"-29,6668706000","-50,5915545000","30,381"
32,"-29,6697064000","-50,5921412000","30,382"
33,"-29,6692174000","-50,5922390000","30,387"
34,"-29,6699997000","-50,5921412000","30,407"
35,"-29,6658928000","-50,5910656000","30,412"
36,"-29,6661861000","-50,5910656000","30,415"
37,"-29,6698042000","-50,5921412000","30,423"
38,"-29,6663817000","-50,5912612000","30,439"
39,"-29,6675551000","-50,5918479000","30,442"
40,"-29,6676529000","-50,5918479000","30,442"
41,"-29,6673595000","-50,5917501000","30,442"
42,"-29,6662839000","-50,5912612000","30,444"
43,"-29,6663817000","-50,5911634000","30,445"
44,"-29,6696086000","-50,5921412000","30,448"
45,"-29,6679462000","-50,5918479000","30,462"
46,"-29,6679462000","-50,5919457000","30,468"
47,"-29,6655994000","-50,5905767000","30,469"
48,"-29,6686307000","-50,5922390000","30,477"
49,"-29,6666751000","-50,5914567000","30,479"
50,"-29,6663817000","-50,5913589000","30,482"
51,"-29,6683374000","-50,5921412000","30,488"
52,"-29,6671640000","-50,5916523000","30,493"
53,"-29,6669684000","-50,5915545000","30,523"
54,"-29,6667728000","-50,5914567000","30,524"
55,"-29,6674573000","-50,5917501000","30,530"
56,"-29,6684352000","-50,5922390000","30,531"
57,"-29,6699019000","-50,5923368000","30,537"
58,"-29,6677507000","-50,5918479000","30,543"
59,"-29,6693152000","-50,5921412000","30,548"
60,"-29,6701953000","-50,5922390000","30,551"
61,"-29,6678485000","-50,5919457000","30,557"
62,"-29,6665773000","-50,5914567000","30,562"
63,"-29,6685330000","-50,5922390000","30,562"
64,"-29,6693152000","-50,5922390000","30,562"
65,"-29,6657950000","-50,5909678000","30,563"
66,"-29,6682396000","-50,5921412000","30,564"
67,"-29,6658928000","-50,5908700000","30,577"
68,"-29,6664795000","-50,5913589000","30,583"
69,"-29,6671640000","-50,5915545000","30,587"
70,"-29,6686307000","-50,5921412000","30,595"
71,"-29,6694130000","-50,5920434000","30,597"
72,"-29,6649149000","-50,5897944000","30,605"
73,"-29,6699019000","-50,5921412000","30,615"
74,"-29,6675551000","-50,5917501000","30,617"
75,"-29,6685330000","-50,5921412000","30,618"
76,"-29,6699997000","-50,5924346000","30,622"
77,"-29,6659906000","-50,5911634000","30,626"
